#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
抗	대항/겨룰 항(높은(亢)사람에게 손(扌)들고 겨룸/대항함) (높을 항(亢) : 높은(亠) 책상(几) = 고학력자)	こう 抵抗（ていこう）ー저항 電気抵抗（でんきていこう）ー전기저항 抗議（こうご）ー항의 抗議騒動を起こす（こうぎそうどうをおこす）ー항의 소동을 일으키다 対抗（たいこう）ー대항 対抗心（たいこうしん）ー대항심 反抗（はんこう）ー반항 抗争（こうそう）ー항쟁 抗菌（こうきん）ー항균 抗拒（こうきょ）ー항거 抗弁（こうべん）ー항변 抗力（こうりょく）ー항력 不可抗力（ふかこうりょく）ー불가항력		높을 항(亢) / 대항(겨룰) 항(抗) / 구덩이 갱(坑) / 배 항(航)
坑	구덩이 갱(높은(亢)곳에서 봐도 보이는 구덩이(土)) (높을 항(亢) : 높은(亠) 책상(几) = 고학력자)	こう 坑道（こうどう）ー갱도 坑道が塞がる（こうどうがふさがる）ー갱도가 막히다 炭坑（たんこう）ー탄광 金坑（きんこう）ー금갱 廃坑（はいこう）ー폐광		높을 항(亢) / 대항(겨룰) 항(抗) / 구덩이 갱(坑) / 배 항(航)
航	배 항(높은(亢)돛을 단 배(舟)) (높을 항(亢) : 높은(亠) 책상(几) = 고학력자)	こう 航空（こうくう）ー항공 航空券（こうくうけん）ー항공권 航路（こうろ）ー항로 航海（こうかい）ー항해 難航（なんこう）ー난항 運航（うんこう）ー운항 欠航（けっこう）ー결항 悪天候による欠航（あくてんこうによるけっこう）ー악천후로 인한 결항 密航（みっこう）ー밀항 出航（しゅっこう）ー출항		붉을 단(丹) / 배 주(舟) / 배 선(船) / 배 항(航) / 군함 함(艦) / 배 정(艇) / 배 박(舶)  높을 항(亢) / 대항(겨룰) 항(抗) / 구덩이 갱(坑) / 배 항(航)
害	해할 해(집(宀)안 주인(龶)의 말(口)을 거역하는 자는 해함)	がい 被害（ひがい）ー피해 被害妄想（ひがいもうそう）ー피해망상 被害者（ひがいしゃ）ー피해자 加害者（かがいしゃ）ー가해자 損害（そんがい）ー손해 損害保険（そんがいほけん）ー손해보험 利害（りがい）ー이익과 손해 公害（こうがい）ー공해 障害（しょうがい）ー장애 精神障害（せいしんしょうがい）ー정신 장애 災害（さいがい）ー재해 危害（きがい）ー위해 迫害（はくがい）ー박해 害虫（がいちゅう）ー해충 妨害（ぼうがい）ー방해 弊害（へいがい）ー폐해 侵害（しんがい）ー침해 人権侵害（じんけんしんがい）ー인권 침해 有害（ゆうがい）ー유해 無害（むがい）ー무해 殺害（さつがい）ー살해 自害（じがい）ー자해		해할 해(害) / 벨 할(割) / 다스릴 할(轄)
憲	법 헌(집(宀) 주인(龶)이 마음(心)대로 만든 그물(罒)같은 헌법)	けん 憲法（けんぽう）ー헌법 憲法改正問題で渡り合う（けんぽうかいせいもんだいでわたりあう）ー헌법 개정문제로 논쟁하다 違憲（いけん）ー위헌 違憲訴訟（いけんそしょう）ー위헌 소송 改憲（かいけん）ー개헌 改憲案（かいけんあん）ー개헌안 立憲（りっけん）ー입헌 憲兵（けんぺい）ー헌병		보리 맥(麦) / 독 독(毒) / 흴 소(素) / 겉 표(表) / 나누어 줄(가마니) 표(俵) / 법 헌(憲)
割	벨 할(해(害)하려는 자를 칼(刂)로 벰)	かつ 分割（ぶんかつ）ー분할 株式分割（かぶしきぶんかつ）ー주식 분할 領土分割（りょうどぶんかつ）ー영토 분할 遺産分割協議をする（いさんぶんかつきょうぎをする）ー유산분할협의를 하다 割愛（かつあい）ー할애	割る（わる）ー깨다 割合（わりあい）ー비율 (와! 리아이 비율 좋네) 割引（わりびき）ー할인 役割（やくわり）ー역할 割り算（わりざん）ー나눗셈 割り込む（わりこむ）ー새치기하다 割り当てる（わりあてる）ー분배하다 割り切る（わりきる）ー결론짓다 割に（わりに）ー비교적 五割（ごわり）ー5할 割れる（われる）ー깨지다 ひび割れる（ひびわれる）ー금이 가다 割く（さく）ー찢다, 쪼개다, 나누다	해할 해(害) / 벨 할(割) / 다스릴 할(轄)
轄	다스릴 할(정치인은 차(車)로 해(害)를 입혀 다스림)	かつ 管轄（かんかつ）ー관할 直轄（ちょっかつ）ー직할 政府が直轄する機関（せいふがちょっかつするきかん）ー정부가 직할하는 기관 所轄（しょかつ）ー관할 (소할) 警察所轄区域（けいさつしょかつくいき）ー경찰 관할 구역		해할 해(害) / 벨 할(割) / 다스릴 할(轄)
行	갈 행	こう 行動（こうどう）ー행동 銀行（ぎんこう）ー은행 旅行（りょこう）ー여행 急行（きゅうこう）ー급행 流行（りゅうこう）ー유행 孝行（こうこう）ー효행 通行（つうこう）ー통행 進行（しんこう）ー진행 発行（はっこう）ー발행 暴行（ぼうこう）ー폭행 行為（こうい）ー행위 施行（しこう）ー시행 徐行（じょこう）ー서행 ぎょう 行事（ぎょうじ）ー행사 行儀作法（ぎょうぎさほう）ー예의범절 行政（ぎょうせい）ー행정 行政命令（ぎょうせいめいれい）ー행정명령 行列（ぎょうれつ）ー행렬 修行（しゅぎょう）ー수행	行く（いく）ー가다 行く（ゆく）ー가다 行方（ゆくえ）ー행방 行方不明（ゆくえふめい）ー행방불명行き先（ゆきさき）ー행선지 行う（おこなう）ー행하다	갈 행(行) / 도리 형(桁)
桁	도리 형(다닐(行)수 있게 나무(木)다리를 설치함)	けた 桁（けた）ー자릿수 一桁（ひとけた）ー(숫자의) 한 자릿수  桁違い（けたちがい）ー현격한 차이 四桁の暗証番号を入力する（よんけたのあんしょうばんごうをにゅうりょくする）ー네 자리 비밀번호를 입력하다		갈 행(行) / 도리 형(桁)
獲	잡을 획(개(犭)가 새를 획하고 잡음(蒦))  (잡을 곽(蒦) : 새(隹)가 날개(又)로 풀(艹)을 곽 잡음)	かく 獲得（かくとく）ー획득 自由を獲得する（じゆうをかくとくする）ー자유를 획득하다 捕獲（ほかく）ー포획 捕獲規制（ほかくきせい）ー포획 규제 漁獲（ぎょかく）ー어획 一獲千金（いっかくせんきん）ー일확천금	獲る（える）ー사냥하다 鯖を獲る（さばをえる）ー고등어를 잡다 獲もの（えもの）ー사냥감 漁獲（ぎょかく）ー어획	잡을 곽(蒦) / 잡을 획(獲) / 도울 호(護) / 수확 확(穫)
護	도울 호(새가 풀을 잡을(獲)수있게 말(言)로 도움) (잡을 곽(蒦) : 새(隹)가 날개(又)로 풀(艹)을 곽 잡음)	ご 保護（ほご）ー보호 保護者（ほごしゃ）ー보호자 過保護（かほご）ー과(잉)보호 保護国（ほごこく）ー보호국 保護処分（ほごしょぶん）ー보호 처분 保護観察（ほごかんさつ）ー보호 관찰 弁護（べんご）ー변호 弁護士（べんごし）ー변호사 国選弁護人（こくせんべんごにん）ー국선 변호인 護衛（ごえい）ー호위 護衛兵（ごえいへい）ー호위병 介護（かいご）ー개호 看護（かんご）ー간호 看護士（かんごし）ー남자 간호사 看護婦（かんごふ）ー여자 간호사 加護（かご）ー가호 神霊の加護（しんれいのかご）ー신령의 가호 警護（けいご）ー경호 掩護（えんご）ー엄호 防護（ぼうご）ー방호 防護壁（ぼうごへき）ー방호벽 護身（ごしん）ー호신 護身術（ごしんじゅつ）ー호신술 愛護（あいご）ー애호 動物愛護（どうぶつあいご）ー동물 애호  護送（ごそう）ー호송 護送船（ごそうせん）ー호송선 救護（きゅうご）ー구호 救護施設（きゅうごしせつ）ー구호 시설 守護神（しゅごじん）ー수호신		잡을 곽(蒦) / 잡을 획(獲) / 도울 호(護) / 수확 확(穫)
穫	수확 확(벼(禾)를 잡음(獲) = 수확)  (잡을 곽(蒦) : 새(隹)가 날개(又)로 풀(艹)을 곽 잡음)	かく 収穫（しゅうかく）ー수확 例年に比して収穫が多い（れいねんにひしてしゅうかくがおおい）ー예년에 비하여 수확이 많다 収穫時期（しゅうかくじき）ー수확시기 収穫の秋（しゅうかくのあき）ー수확의 가을		잡을 곽(蒦) / 잡을 획(獲) / 도울 호(護) / 수확 확(穫)
婚	혼인할 혼(여자(女)가 어두울때(昏) 하는 혼인) (어두울 혼(昏) : 성씨(氏)집안의 앞날(日)은 어두움)	こん 結婚（けっこん）ー결혼 婚姻（こんいん）ー혼인 婚姻適齢（こんいんてきれい）ー혼인 적령 婚約（こんやく）ー혼약 婚約者（こんやくしゃ）ー혼약자 既婚（きこん）ー기혼 未婚（みこん）ー미혼 破婚（はこん）ー파혼 婚期（こんき）ー혼기 再婚（さいこん）ー재혼 新婚（しんこん）ー신혼 離婚（りこん）ー이혼 協議離婚（きょうぎりこん）ー협의 이혼 婚姻届（こんいんとどけ）ー혼인 신고		성씨 씨(氏) / 종이 지(紙) / 근본 저(氐) / 집 저(邸) / 막을 저(抵) / 낮을 저(低) / 밑 저(底) / 어두울 혼(昏) / 혼인할 혼(婚) / 백성 민(民) / 잘 면(眠)
姻	혼인 인(여자(女)와 인연(因)을 맺음)	いん 婚姻（こんいん）ー혼인 婚姻が成立する（こんいんがせいりつする）ー혼인이 성립되다 婚姻届（こんいんとどけ）ー혼인 신고 姻戚（いんせき）ー인척		기인할 인(因) / 목구멍 인(咽) / 혼인 인(姻) / 은혜 은(恩)
婿	사위 서(여자(女)가 정한(正) 몸(月) = 사위)	せい 女婿（じょせい）ー사위 (여서) 彼は社長の女婿だ（かれはしゃちょうのじょせいだ）ー그는 사장의 사위다	むこ 婿（むこ）ー사위, 신랑 娘婿（むすめむこ）ー사위 (낭서) 花婿（はなむこ）ー신랑 (화서)	
婦	며느리 부(빗자루(帚)들고 청소하는 며느리(女)) (빗자루 추(帚) : 오른손(⺕) + 수건 건(巾) + 덮을 멱(冖))	ふ 夫婦（ふうふ）ー부부 夫婦が睦まじい（ふうふがむつまじい）ー부부 사이가 좋다 主婦（しゅふ）ー주부 専業主婦（せんぎょうしゅふ）ー전업주부 婦人（ふじん）ー부인 産婦人科（さんふじんか）ー산부인과 家政婦（かせいふ）ー가정부 売春婦（ばいしゅんふ）ー매춘부		빗자루 추(帚) / 돌아갈 귀(帰) / 쓸 소(掃) / 침노할 침(侵) / 잠길 침(浸) / 잘 침(寝) / 며느리 부(婦)
化	변화 화(사람(亻)이 비수(匕)맞은것처럼 변화함)	か 変化（へんか）ー변화 季節の変化に体を慣らす（きせつのへんかにからだをならす）ー계절 변화에 몸을 적응시키다 文化（ぶんか）ー문화 消化（しょうか）ー소화 悪化（あっか）ー악화 景気悪化（けいきあっか）ー경기악화 浄化（じょうか）ー정화 浄化槽（じょうかそう）ー정화조 進化（しんか）ー진화 進化過程（しんかかてい）ー진화과정 酸化（さんか）ー산화 化学（かがく）ー화학 合理化（ごうりか）ー합리화 け 化粧（けしょう）ー화장	化ける（ばける）ー둔갑하다, 변장하다 化け物（ばけもの）ー도깨비 化かす（ばかす）ー속이다, 호리다 (박카수로 속임)	변화 화(化) / 꽃 화(花) / 재물 화(貨)
花	꽃 화(풀(艹)이 자라면 꽃으로 변화(化))	か 花瓶（かびん）ー꽃병 花粉（かふん）ー꽃가루 花粉症（かふんしょう）ー꽃가루 알레르기 花壇（かだん）ー화단, 꽃밭 落花（らっか）ー낙화 開花（かいか）ー개화 例年より開花が遅い（れいねんよりかいかがおそい）ー예년보다 개화가 늦다	はな 花（はな）ー꽃 (꽃 하나) 花見（はなみ）ー꽃구경 花火（はなび）ー불꽃놀이	변화 화(化) / 꽃 화(花) / 재물 화(貨)
貨	재물 화(재물은 돈(貝)으로 바꿀(化)수 있는 것) (변화 화(化) : 사람(亻)이 비수(匕)맞은것처럼 변화함)	か 貨幣（かへい）ー화폐 貨幣価値が下がる（かへいかちがさがる）ー화폐 가치가 떨어지다 貨物（かもつ）ー화물 貨物船（かもつせん）ー화물선 財貨（ざいか）ー재화 財貨を蓄える（ざいかをたくわえる）ー재화를 모으다  通貨（つうか）ー통화 外貨（がいか）ー외화 雑貨（ざっか）ー잡화 雑貨商（ざっかしょう）ー잡화상 銅貨（どうか）ー동전 (동화)		재물 자(資) / 재물 화(貨)  변화 화(化) / 꽃 화(花) / 재물 화(貨)
叱	꾸짖을 질(비수(匕)같은 말(口)을 하며 꾸짖음)	しつ 叱咤（しった）ー질타 政府の無能さを𠮟咤した（せいふのむのうさをしったした）ー정부의 무능을 질타했다 叱責（しっせき）ー질책 𠮟責を受ける（しっせきをうける）ー질책을 받다	叱る（しかる）ー꾸짖다 君だから叱るのではない（きみだからしかるのではない）ー너라서 꾸짖는 것이 아니다	
換	바꿀 환(빛나는(奐)보석을 들고가(扌) 돈으로 바꿈) (빛날 환(奐) : 그물(𦉪)에 크고(大) 빛나는게 걸려 칼(⺈)로찢고 확인함)	かん 交換（こうかん）ー교환 物物交換（ぶつぶつこうかん）ー물물교환 交換台（こうかんだい）ー교환대 換気（かんき）ー환기 換気量（かんきりょう）ー환기량 換気口（かんきこう）ー환기구 換気扇（かんきせん）ー환기팬 転換（てんかん）ー전환 気分転換（きぶんてんかん）ー기분전환 性転換（せいてんかん）ー성전환 換算（かんさん）ー환산 変換（へんかん）ー변환 置換（ちかん）ー치환 換金（かんきん）ー환금 互換（ごかん）ー호환  互換性のある部品（ごかんせいのあるぶひん）ー호환성이 있는 부품 換骨奪胎（かんこつだったい）ー환골탈태	換える（かえる）ー바꾸다, 교환하다 パンクしたタイヤを換える（パンクシタカイヤをかえる）ー펑크난 타이어를 갈다 乗り換える（のりかえる）ー갈아타다 切り替える（きりかえる）ー전환하다 換る（かわる）ー바뀌다, 교환되다 切り替わる（きりかわる）ー교체되다	빛날 환(奐) / 부를 환(喚) / 바꿀 환(換)
喚	부를 환(빛나는(奐)보석을 살 사람을 입(口)으로 부름) (부를 소(召) : 칼(刀)들고 부름(口)) (빛날 환(奐) : 그물(𦉪)에 크고(大) 빛나는게 걸려 칼(⺈)로찢고 확인함)	かん 召喚（しょうかん）ー소환 検察に召喚される（けんさつにしょうかんされる）ー검찰에 소환되다 喚起（かんき）ー환기  注意を喚起する（ちゅういをかんきする）ー주위를 환기하다 叫喚（きょうかん）ー규환 阿鼻叫喚（あびきょうかん）ー아비규환		빛날 환(奐) / 부를 환(喚) / 바꿀 환(換)
会	모을 회(사람(人)이 구름(云)처럼 모임)	かい 会議（かいぎ）ー회의 職員会議（しょくいんかいぎ）ー직원회의 会社（かいしゃ）ー회사 会社員（かいしゃいん）ー회사원  社会（しゃかい）－사회 社会性（しゃかいせい）ー사회성 社会問題（しゃかいもんだい）ー사회문제 会場（かいじょう）ー회장 会長（かいちょう）ー회장 会長選挙（かいちょうせんきょ）ー회장선거 教会（きょうかい）ー교회 協会（きょうかい）ー협회 機会（きかい）ー기회 偶の機会（たまのきかい）ー드문기회 国会（こっかい）ー국회 会計（かいけい）ー회계 会費（かいひ）ー회비 再会（さいかい）ー재회 照会（しょうかい）ー조회 大会（たいかい）ー대회 会員（かいいん）ー회원 え 会釈（えしゃく）ー가벼운 인사 会得（えとく）ー터득 一期一会（いちごいちえ）ー일생에 한번뿐인 만남	会う（あう）ー만나다 たまに一度会う（たまにいちどあう）ー오다가다 한번 만나다 出会う（であう）ー우연히 만나다	모일 회(会) / 예술 예(芸) / 그림 회(絵) / 구를 전(転) / 전할 전(伝)
絵	그림 회(여러색의 실(糸)들이 모인(会)것은 그림)	え 絵（え）ー그림 絵を額に収める（えをがくにおさめる）ー그림을 액자에 끼워 넣다 絵本（えほん）ー그림책 絵師（えし）ー화가 絵日記（えにっき）ー그림 일기 絵の具（えのぐ）ー그림 물감 かい 絵画（かいが）ー회화 (그림)		모일 회(会) / 예술 예(芸) / 그림 회(絵) / 구를 전(転) / 전할 전(伝)
監	볼 감(신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	かん 監督（かんとく）ー감독 監督官（かんとくかん）ー감독관 監視（かんし）ー감시 監視網（かんしもう）ー감시망 監獄（かんごく）ー감옥 監理（かんり）ー감리 (감독하고 관리함) 工事 監理者（こうじかんりしゃ）ー공사 감리자 監査（かんさ）ー감사 監査委員（かんさいいん）ー감사 위원 監査機関（かんさきかん）ー감사 기관  監禁（かんきん）ー감금 監禁罪（かんきんざい）ー감금죄 不法監禁（ふほうかんきん）ー불법감금		볼 감(監) / 넘칠 람(濫) / 볼 람(覧) / 남색 남(藍) / 거울 감(鑑) / 군함 함(艦)
濫	넘칠 람(물(氵)이 넘치는걸 보고(監)만 있음) (볼 감(監) : 신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	らん 氾濫（はんらん）ー범람 大雨で川が氾濫する（おおあめでかわがはんらんする）ー큰비로 하천이 범람하다 濫用（らんよう）ー남용 職権乱用（しょっけんらんよう）ー직권 남용 濫発（らんぱつ）ー남발		볼 감(監) / 넘칠 람(濫) / 볼 람(覧) / 남색 남(藍) / 거울 감(鑑) / 군함 함(艦)
藍	남색 남(람)(남색 풀(艹)이 신기해 계속 봄(監)) (볼 감(監) : 신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	らん 出藍（しゅつらん）ー출람 青藍（せいらん）ー청람	あい 藍色（あいいろ）ー남색 藍染め（あいぞめ）ー쪽염색	볼 감(監) / 넘칠 람(濫) / 볼 람(覧) / 남색 남(藍) / 거울 감(鑑) / 군함 함(艦)
艦	군함 함(주변을 잘 보고(監) 운행해야하는 배(舟)) (볼 감(監) : 신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	かん 艦隊（かんたい）ー함대 艦隊を率いて出撃する（かんたいをひきいてしゅつげきする）ー함대를 거느리고 출격하다 無敵艦隊（むてきかんたい）ー무적함대 軍艦（ぐんかん）ー군함 航空母艦（こうくうぼかん）ー항공모함 艦船（かんせん）ー함선 潜水艦（せんすいかん）ー잠수함		붉을 단(丹) / 배 주(舟) / 배 선(船) / 배 항(航) / 군함 함(艦) / 배 정(艇) / 배 박(舶)
鑑	거울 감(얼굴을 볼(監)수있게 쇠(金)로만든 거울) (볼 감(監) : 신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	かん 鑑定（かんてい）ー감정 精神鑑定（せいしんかんてい）ー정신감정 図鑑（ずかん）ー도감 動物図鑑（どうぶつずかん）ー동물 도감    鑑賞（かんしょう）ー감상  絵を鑑賞する（えをかんしょうする）ー그림을 감상하다 印鑑（いんかん）ー인감  印鑑登録（いんかんとうろく）ー인감 등록 亀鑑（きかん）ー귀감, 본보기 鑑札（かんさつ）ー감찰  鑑別（かんべつ）ー감별 ひなの性別を鑑別する（ひなのせいべつをかんべつする）ー병아리의 성별을 감별하다	鑑みる（かんがみる）ー감안하다 過去の事例に鑑みる（かこのじれいにかんがみる）ー과거 사례에 비추어 생각하다	볼 감(監) / 넘칠 람(濫) / 볼 람(覧) / 남색 남(藍) / 거울 감(鑑) / 군함 함(艦)
覧	볼 람(보고(監) 또봄(見)) (볼 감(監) : 신하(臣)가 화살(𠂉)같은 눈초리(一)로 임금의 밥접시(皿)를 봄)	らん  閲覧（えつらん）ー열람 商品の閲覧数が増える（しょうひんのえつらんすうがふえる）ー상품의 열람수가 증가하다  閲覧室（えつらんしつ）ー열람실 登記簿閲覧（とうきぼえつらん）ー등기부 열람 回覧（かいらん）ー회람 一覧（いちらん）ー일람 一覧表（いちらんひょう）ー일람표 博覧会（はくらんかい）ー박람회 観覧（かんらん）ー관람  観覧車（かんらんしゃ）ー관람차 御覧（ごらん）ー보심		볼 감(監) / 넘칠 람(濫) / 볼 람(覧) / 남색 남(藍) / 거울 감(鑑) / 군함 함(艦)
見	볼 견(사람(儿)이 눈(目)으로 봄)	けん 見学（けんがく）ー견학 見物（けんぶつ）ー구경 発見（はっけん）ー발견 再発見（さいはっけん）ー재발견 意見（いけん）ー의견 少数意見（しょうすういけん）ー소수의견 外見（がいけん）ー외견, 겉보기, 외관 外見至上主義（がいけんしじょうしゅぎ）ー외모 지상주의 予見（よけん）ー예견 先見（せんけん）ー선견 先見の明（せんけんのめい）ー선견지명 偏見（へんけん）ー편견 会見（かいけん）ー회견 記者会見（きしゃかいけん）ー기자회견	見る（みる）ー보다 見事（みごと）ー훌륭함 下見（したみ）ー미리 봄  見える（みえる）ー보이다 見せる（みせる）－보여주다	볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
現	나타날 현(왕(王)이 서민을 보러(見) 나타남) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	げん 現状（げんじょう）ー현상 現状維持（げんじょういじ）ー현상유지 現象（げんしょう）ー현상 自然現象（しぜんげんしょう）ー자연 현상 現場（げんば）ー현장 現場監督（げんばかんとく）ー현장 감독 出現（しゅつげん）ー출현 現在（げんざい）ー현재 現在完了（げんざいかんりょう）ー현재 완료 現代（げんだい）ー현대 現代化（げんだいか）ー현대화  表現（ひょうげん）ー표현 表現力（ひょうげんりょく）ー표현력 現金（げんきん）ー현금 実現（じつげん）ー실현 自己実現（じこじつげん）ー자기 실현 現実（げんじつ）ー현실 現実主義（げんじつしゅぎ）ー현실주의 超現実的（ちょうげんじつてき）ー초현실적 現地（げんち）ー현지 再現（さいげん）ー재현 現行（げんこう）ー현행 現行犯（げんこうはん）ー현행범 現役（げんえき）ー현역 現物（げんぶつ）ー현물 具現（ぐげん）ー구현 現況（げんきょう）ー현황 現住所（げんじゅうしょ）ー현주소 現段階（げんだんかい）ー현단계 現時点（げんじてん）ー현시점	現す（あらわす）ー나타내다 彼は少し飲むと本性を現す（かれはすこしのむとほんしょうをあらわす）ー그는 조금 마시면 본성을 드러낸다 現れる（あらわれる）ー나타나다 驚きの色が表情に現れる（おどろきのいろがひょうじょうにあらわれる）ー놀란 기색이표정에 드러나다	볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
規	법 규(아버지(夫)가 보고(見)있으면 법같음) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	き 規則（きそく）ー규칙 施行規則（しこうきそく）ー시행 규칙 規模（きぼ）ー규모 大規模（だいきぼ）ー대규모 小規模（しょうきぼ）ー소규모 規制（きせい）ー규제 規制緩和（きせいかんわ）ー규제완화 規律（きりつ）ー규율 規定（きてい）ー규정 規格（きかく）ー규격 正規（せいき）ー정규 正規分布（せいきぶんぷ）ー정규분포  規約（きやく）ー규약 規約違反（きやくいはん）ー규약위반 規範（きはん）ー규범 法規（ほうき）ー법규 許容法規（きょようほうき）ー허용 법규 交通法規（こうつうほうき）ー교통 법규 定規（じょうぎ、ていき）ー정규, 자		볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
視	볼 시(제사(示)를 봄(見)) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	し 無視（むし）ー무시 重視（じゅうし）ー중시 視神経（ししんけい）ー시신경 視力（しりょく）ー시력 視力検査（しりょくけんさ）ー시력 검사 矯正視力（きょうせいしりょく）ー교정시력 監視（かんし）ー감시 監視網（かんしもう）ー감시망 視点（してん）ー시점 視野（しや）ー시야 視線（しせん）ー시선 冷たい視線（つめたいしせん）ー차가운 시선 視察（しさつ）ー시찰 視覚（しかく）ー시각 視覚障害（しかくしょうがい）ー시각 장애 蔑視（べっし）ー멸시 視差（しさ）ー시차 視差適応（しさてきおう）ー시차적응 視聴率（しちょうりつ）ー시청률 虎視眈眈（こしたんたん）ー호시탐탐 注視（ちゅうし）ー주시		볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
親	친할 친(항상 내옆에 서있는(立) 나무(木)를 계속 보니(見)친해짐) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	しん 両親（りょうしん）ー부모 親切（しんせつ）ー친절 不親切（ふしんせつ）ー불친절 親類（しんるい）ー친척, 일가 親戚（しんせき）ー친척 親友（しんゆう）ー친우 親密（しんみつ）ー친밀 極 めて親密な交際をする（きわめてしんみつなこうさいをする）ー아주 친밀한 교제를 하다 親善（しんぜん）ー친선 親善試合（しんぜんしあい）ー친선경기 親睦（しんぼく）ー친목 親睦会（しんぼくかい）ー친목회 親近（しんきん）ー친근 親近感（しんきんかん）ー친근감	親しい（したしい）ー친하다 親しむ（したしむ）ー친하게 지내다 自然に親しむ（しぜんにしたしむ）ー자연 친화적이다 おや 親（おや）ー부모 父親（ちちおや）ー부친, 아버지 母親（ははおや）ー모친, 어머니 親指（おやゆび）ー엄지손(발)가락 親子（おやこ）ー부모자식	볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
覚	깨달을/눈뜰 각(불타는 집(龸)을 보고(見) 우리집인것을 깨달음) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	かく 覚悟（かくご）ー각오 必死の覚悟で臨む（ひっしのかくごでのぞむ）ー필사의 각오로 임하다 感覚（かんかく）ー감각 感覚神経（かんかくしんけい）ー감각신경 味覚（みかく）ー미각 味覚をそそる（みかくをそそる）ー미각을 돋우다 視覚（しかく）ー시각 視聴覚教育（しちょうかくきょういく）ー시청각 교육 聴覚（ちょうかく）ー청각 聴覚障害（ちょうかくしょうがい）ー청각장애 嗅覚（きゅうかく）ー후각 嗅覚器官（きゅうかくきかん）ー후각 기관 幻覚（げんかく）ー환각 幻覚を起こす（げんかくをおこす）ー환각을 일으키다 触覚（しょっかく）ー촉각 知覚（ちかく）ー지각 覚醒（かくせい）ー각성 錯覚（さっかく）ー착각 発覚（はっかく）ー발각	覚える（おぼえる）ー기억하다, 외우다, 익히다 何度も反復して覚える（なんどもはんぷくしておぼえる）ー몇번이고 반복해서 외우다 覚え（おぼえ）ー기억, 배움 覚ます（さます）ー깨우다, 깨다 夜中に目を覚ます（よなかにめをさます）ー한밤중에 잠에서 깨다 目覚まし時計（めざましどけい）ー자명종 覚める（さめる）ー잠이 깨다 朝早く目が覚める（あさはやくめがさめる）ー아침일찍 눈이 뜨이다	볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
寛	너그러울 관(더러운 풀잎(艹)을 집(宀)에 들인걸 봐도(見) 너그럽게 봐줌) (볼 견(見) : 사람(儿)이 눈(目)으로 봄)	かん 寛大（かんだい）ー관대 寛大な処置（かんだいなしょち)ー관대한 조치 伏する敵は寛大にもてなす（ふくするてきはかんだいにもてなす）ー항복하는 적은 관대하게 대한다 寛容（かんよう）ー관용	寛ぐ（くつろぐ）ー(느긋한 기분으로) 휴식하다 ソファーで寛ぐ（ソファーでくつろぐ）ー소파에서 편안히 쉬다	볼 견(見) / 나타날 현(現) / 법 규(規) / 볼 시(視) / 친할 친(親) / 깨들을(눈뜰) 각(覚) / 너그러울 관(寛)
