#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
侶	짝 려(사람(亻)의 등뼈같은(呂) 짝)	りょ 僧侶（そうりょ）ー승려 伴侶（はんりょ）ー반려 伴侶犬（はんりょけん）ー반려견 伴侶動物（はんりょどうぶつ）ー반려 동물 彼は普段から伴侶犬に対する愛情が格別なことで有名だ（かれはふだんからはんりょけんにたいするあいじょうがかくべつなことでゆうめいだ）ー그는 평소에 반려견에 대한 애정이 남다르기로 유명하다		등뼈 려(呂) / 짝 려(侶) / 궁전 궁(宮) / 경영할 영(営)
宮	궁전 궁(등뼈(呂)같은 궁전(宀))	きゅう 宮殿（きゅうでん）ー궁전 宮殿の内部を見学する（きゅうでんのないぶをけんがくする）ー궁전 내부를 견학하다 王宮（おうきゅう）ー왕궁 子宮（しきゅう）ー자궁 ぐう 神宮（じんぐう）ー신궁	みや 宮（みや）ー궁, 신사 お宮参り（おみやまいり）ー신사 참배	등뼈 려(呂) / 짝 려(侶) / 궁전 궁(宮) / 경영할 영(営)
抵	막을 저(문제의 근본(氐)을 손(扌)으로 막음)	てい 抵抗（ていこう）ー저항 病気に対する抵抗力を養う（びょうきにたいするていこうりょくをやしなう）ー병에 대한 저항력을 기르다 電気抵抗（でんきていこう）ー전기저항 無抵抗（むていこう）ー무저항 大抵（たいてい）ー대강,대게 抵当（ていとう）ー저당		성씨 씨(氏) / 종이 지(紙) / 근본 저(氐) / 집 저(邸) / 막을 저(抵) / 낮을 저(低) / 밑 저(底) / 어두울 혼(昏) / 혼인할 혼(婚) / 백성 민(民) / 잘 면(眠)
邸	집 저(고을(⻏)에 있는 근본(氐)있는 저택)	てい 邸宅（ていたく）ー저택 豪壮な邸宅を構えている（ごうそうなていたくをかまえてういる）ー호화로운 저택을 가지고 있다		성씨 씨(氏) / 종이 지(紙) / 근본 저(氐) / 집 저(邸) / 막을 저(抵) / 낮을 저(低) / 밑 저(底) / 어두울 혼(昏) / 혼인할 혼(婚) / 백성 민(民) / 잘 면(眠)
倫	인륜 륜(사람(亻)이 둥글게(侖)지내기 위해 인륜이 있어야함)	りん 倫理（りんり）ー윤리 倫理的判断の欠如（りんりはんだんのけつじょ）ー윤리적 판단의 결여  人倫（じんりん）ー인륜 不倫（ふりん）ー불륜 不倫の行為（ふりんのこうい）ー불륜 행위		둥글 륜(侖) / 바퀴 륜(輪) / 논할 론(論) / 인륜 륜(倫)
徳	덕 덕 (살면서(彳) 그물(罒)같이 넓은 마음(心)으로 많이(十) 행한 선행(덕))	とく 徳義（とくぎ）ー도덕상의 의무 道徳（どうとく）ー도덕 道徳性（どうとくせい）ー도덕성 道徳心（どうとくしん）ー도덕심 悪徳（あくとく）ー악덕 悪徳商法が流行っている（あくとくしょうほうがはやっている）ー악덕상술이 만연하고 있다		
繕	기울/수선 선(착한(善)아이에게 실(糸)하나라도 더 주고싶어 마음이 기움)	ぜん 修繕（しゅうぜん）ー수선 修繕費（しゅうぜんひ）ー수선비 修繕費に充てる（しゅうぜんひにあてる）ー수선비에 충당하다 屋根を修繕する（やねをしゅうぜんする）ー지붕을 수리하다	繕う（つくろう）ー수선하다, 고치다 脇のほころびを繕う（わきのほころびをつくろう）ー옷의 옆구리 터진데를 꿰매다 着物を繕う（きものをつくろう）ー옷을 꿰매다	착할 선(善) / 기울(수선) 선(繕) / 선물 선(膳)
膳	선물 선(착한(善)아이에게 고기(月)를 선물함)	ぜん 配膳（はいぜん）ー배식 炊事場で配膳する（すいじばではいぜんする）ー취사장에서 배식하다		착할 선(善) / 기울(수선) 선(繕) / 선물 선(膳)
訟	송사할 송(공평(公)히 판단해 말하는(言) 송사) *송사 : 어떠한 분쟁에 대한 공정한 판단을 요구하는 절차	しょう訴訟（そしょう）ー소송 刑事訴訟（けいじそしょう）ー형사소송 訴訟費用（そしょうひよう）ー소송 비용 訴訟手続（そしょうてつづき）ー소송 절차 重要な訴訟事件に係る（じゅうようなそしょうじけんにかかる）ー중요한 소송 사건에 연루되다		
菌	세균 균(벼(禾)를 곳간(口)에 오래두어 잔디(艹)같이 세균이 생김)	きん 細菌（さいきん）ー세균 細菌兵器（さいきんへいき）ー세균 무기, 세균 병기 殺菌（さっきん）ー살균 抗菌（こうきん）ー항균 無菌（むきん）ー무균 滅菌（めっきん）ー멸균 滅菌作用（めっきんさよう）ー멸균 작용 病菌（びょうきん）ー병균 病菌の潜伏期間（びょうきんのせんぷくきかん）ー병균의 잠복 기간 大腸菌（だいちょうきん）ー대장균 乳酸菌（にゅうさんきん）ー유산균 保菌者（ほきんしゃ）ー보균자		
曹	무리 조(일(一)렬로 서 허리를 굽힌(曲)체 말하는(日)무리)	そう 法曹界（ほうそうかい）ー법조계 法曹界の大物たち（ほうそうかいのおおものたち）ー법조계의 거물들		무리 조(曹) / 만날 조(遭) / 구유 조(槽)
遭	만날 조(신하 무리(曹)를 궁궐을 다니다가(辶) 만남)	そう 遭遇（そうぐう）ー조우 敵に遭遇する（てきにそうぐうする）ー적과 조우하다 遭難（そうなん）ー조난 遭難現場に直ちに赴く（そうなんげんばにただちにおもむく）ー조난 현장으로 즉시 향하다	遭う（あう）ー(어떤 일을) 당하다, 겪다 酷い目に遭う（ひどいめにあう）ー참혹한 꼴을 당하다	무리 조(曹) / 만날 조(遭) / 구유 조(槽)
槽	구유 조(나무 목(木) + 무리 조(曹))	そう 浴槽（よくそう）ー욕조 浴槽に水を溜めておく（よくそうにみずをためておく）ー욕조에 물을 받아 두다 水槽（すいそう）ー수조 水槽に水を貯める（すいそうにみずをためる）ー수조에 물을 저장하다 浄化槽（じょうかそう）ー정화조		무리 조(曹) / 만날 조(遭) / 구유 조(槽)
